"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.02","estacaoAtual.CR2","15733","Table1"
"TIMESTAMP","RECORD","BP_mbar_Max","BP_mbar_Min","Rain_mm_Tot","AirTC_Max","AirTC_Min","RH_Max","RH_Min","SlrkJ_Tot","TdC_Max","TdC_Min","AirTC_Avg","RH_Avg","WS_ms_Avg","SlrkJ_Avg","ETo"
"TS","RN","mbar","mbar","mm","Deg C","Deg C","%","%","kJ/m^2","Deg C","Deg C","Deg C","%","meters/sec","kJ/m^2",""
"","","Max","Min","Tot","Max","Min","Max","Min","Tot","Max","Min","Avg","Avg","Avg","Avg","ETo"
"2019-08-01 00:00:00",41821,620.3785,599.8748,0,27.107,26.636,75.689,73.355,"NAN",22.06254,21.90924,26.84495,74.61046,1.100139,"NAN","NAN"
"2019-08-01 01:00:00",41822,620.4854,599.8412,0,26.699,26.177,77.182,75.322,"NAN",22.04068,21.7502,26.32384,76.57098,0.1220139,"NAN","NAN"
"2019-08-01 02:00:00",41823,620.1526,599.7497,0,26.448,25.936,77.928,76.816,"NAN",22.13454,21.72186,26.19435,77.3427,0.1233333,"NAN","NAN"
"2019-08-01 03:00:00",41824,600.0702,599.7497,0,26.726,26.427,77.136,76.035,"NAN",22.2463,22.03268,26.59729,76.43108,0,"NAN","NAN"
"2019-08-01 04:00:00",41825,600.0702,599.7802,0,26.818,26.386,77.296,75.852,"NAN",22.3325,22.06802,26.68462,76.3274,0,"NAN","NAN"
"2019-08-01 05:00:00",41826,600.0702,599.8779,0,26.427,25.878,78.548,77.064,"NAN",22.14027,21.75223,26.06124,77.94307,0,"NAN","NAN"
"2019-08-01 06:00:00",41827,600.0702,599.8565,0,26.366,25.656,78.199,77.191,"NAN",22.14419,21.44014,25.9754,77.65705,0.01701389,"NAN","NAN"
"2019-08-01 07:00:00",41828,620.1069,599.8107,0,28.42,25.756,77.246,66.294,"NAN",21.81053,21.13857,26.98527,71.83185,0.1465972,"NAN","NAN"
"2019-08-01 08:00:00",41829,620.2381,599.7344,0,29.88,27.848,67.902,58.283,"NAN",21.58836,20.5819,28.72893,63.93696,1.329792,"NAN","NAN"
"2019-08-01 09:00:00",41830,620.3602,599.7955,0,31.638,29.541,60.177,53.188,"NAN",21.60579,20.11214,30.54852,56.36901,1.364861,"NAN","NAN"
"2019-08-01 10:00:00",41831,620.0427,599.939,0,32.857,29.91,57.074,48.543,"NAN",21.63736,19.91878,31.38919,52.71175,1.467153,"NAN","NAN"
"2019-08-01 11:00:00",41832,620.3694,599.826,0,34.275,30.85,53.74,43.367,"NAN",21.70722,19.26697,33.13638,47.24213,1.579583,"NAN","NAN"
"2019-08-01 12:00:00",41833,600.9585,599.8138,0,36.65,33.068,46.433,37.716,"NAN",21.07521,19.17661,34.62795,42.3867,1.741527,"NAN","NAN"
"2019-08-01 13:00:00",41834,620.116,599.8871,0,36.769,33.687,44.107,35.986,"NAN",20.92917,18.12521,35.14593,39.38715,1.913334,"NAN","NAN"
"2019-08-01 14:00:00",41835,620.4274,599.9329,0,38.035,34.175,40.06,33.216,"NAN",20.43739,17.91714,36.47445,35.87066,1.882431,"NAN","NAN"
"2019-08-01 15:00:00",41836,619.9969,599.942,0,38.494,35.164,39.962,31.4,36239.76,20.81072,18.11514,36.49926,35.68019,1.702777,100.666,0.2061626
"2019-08-01 16:00:00",41837,620.2991,599.7344,0,37.996,35.494,36.882,31.264,31801.04,19.46447,17.17229,36.75197,33.79516,1.698403,88.33621,0.2004369
"2019-08-01 17:00:00",41838,620.2656,599.8565,0,37.875,35.414,35.234,30.948,31205.65,18.78284,17.14323,36.74786,32.65066,1.420486,86.68235,0.181745
"2019-08-01 18:00:00",41839,620.6746,599.7192,0,36.539,34.236,37.033,32.292,35008.72,17.79045,17.0014,35.10186,35.04819,1.202083,97.24644,0.1261542
"2019-08-01 19:00:00",41840,620.7021,599.7955,0,34.425,30.978,58.724,35.949,"NAN",22.03231,17.14719,32.21919,52.38439,2.36236,"NAN","NAN"
"2019-08-01 20:00:00",41841,620.5616,599.9084,0,31,29.51,63.77,58.724,"NAN",22.07569,21.87779,30.21049,61.47101,1.831667,"NAN","NAN"
"2019-08-01 21:00:00",41842,620.3236,599.8199,0,29.52,28.35,68.918,63.671,"NAN",22.156,21.82575,28.83059,66.5816,1.665833,"NAN","NAN"
"2019-08-01 22:00:00",41843,620.4304,599.8412,0,28.4,27.858,71.894,68.8,"NAN",22.36415,22.09092,28.09099,70.43977,1.365904,"NAN","NAN"
"2019-08-01 23:00:00",41844,620.3144,599.7375,0,27.909,27.478,74.292,71.625,"NAN",22.54976,22.28232,27.62457,73.20806,0.76875,"NAN","NAN"
"2019-08-02 00:00:00",41845,620.1923,599.7497,0,27.688,27.418,74.574,73.816,"NAN",22.67095,22.46342,27.54237,74.26875,1.059931,"NAN","NAN"
"2019-08-02 01:00:00",41846,620.2717,599.8351,0,27.72,27.45,74.578,73.574,"NAN",22.65605,22.4794,27.59549,74.08517,0.6635417,"NAN","NAN"
"2019-08-02 02:00:00",41847,620.4335,599.7497,0,27.708,27.438,74.023,71.214,"NAN",22.62086,21.93155,27.5679,73.11827,1.194722,"NAN","NAN"
"2019-08-02 03:00:00",41848,600.9463,599.7497,0,27.778,27.058,71.75,69.762,"NAN",21.94913,21.51441,27.49966,70.56232,1.596458,"NAN","NAN"
"2019-08-02 04:00:00",41849,620.2167,599.7344,0,27.088,26.507,73.49,71.504,"NAN",21.55821,21.36975,26.74565,72.69618,0.4902779,"NAN","NAN"
"2019-08-02 05:00:00",41850,619.7253,599.8443,0,26.796,26.517,73.348,72.554,"NAN",21.55174,21.27906,26.6388,73.04836,0.09805554,"NAN","NAN"
"2019-08-02 06:00:00",41851,620.2045,599.7375,0,26.658,26.177,73.504,72.102,"NAN",21.33604,21.05949,26.42568,72.91393,0.2426389,"NAN","NAN"
"2019-08-02 07:00:00",41852,620.0305,599.7344,0,27.328,26.177,73.566,69.464,"NAN",21.44657,21.09051,26.83262,71.31194,0.4772223,"NAN","NAN"
"2019-08-02 08:00:00",41853,619.8962,599.7497,0,29.31,27.227,70.117,62.375,"NAN",22.0698,21.05388,28.04308,67.04106,1.480555,"NAN","NAN"
"2019-08-02 09:00:00",41854,620.0916,599.7955,0,31.598,28.77,64.253,54.337,"NAN",21.81731,20.84683,30.16078,59.18493,1.6525,"NAN","NAN"
"2019-08-02 10:00:00",41855,620.0641,599.826,0,33.417,31.119,56.091,47.757,"NAN",21.75512,20.32763,32.03364,51.97547,2.126528,"NAN","NAN"
"2019-08-02 11:00:00",41856,620.3267,599.8412,0,34.316,32.277,49.986,44.871,"NAN",21.5942,19.92225,33.2682,47.3201,2.086528,"NAN","NAN"
"2019-08-02 12:00:00",41857,620.0336,599.7772,0,36.162,33.187,48.454,39.222,"NAN",21.63509,19.50676,34.66572,43.29625,2.242986,"NAN","NAN"
"2019-08-02 13:00:00",41858,620.4579,599.9207,0,36.283,33.876,44.269,37.438,"NAN",21.28597,19.11398,35.08073,40.94186,1.786111,"NAN","NAN"
"2019-08-02 14:00:00",41859,620.6716,599.8565,0,37.318,34.384,41.878,35.164,"NAN",21.01023,18.99792,35.88633,38.3696,1.665347,"NAN","NAN"
"2019-08-02 15:00:00",41860,620.5831,599.8412,0,38.095,35.263,39.933,34.454,"NAN",20.44712,18.67121,36.14923,37.3059,1.817291,"NAN","NAN"
"2019-08-02 16:00:00",41861,620.4274,599.7344,0,37.827,35.013,39.094,34.378,"NAN",20.37564,18.46072,35.72489,37.66003,2.137985,"NAN","NAN"
"2019-08-02 17:00:00",41862,620.6411,599.7589,0,37.209,34.923,39.949,35.679,"NAN",19.9052,18.72244,35.73827,37.91076,1.751528,"NAN","NAN"
"2019-08-02 18:00:00",41863,620.1496,599.9329,0,35.484,33.876,40.905,38.062,"NAN",19.2063,18.64904,34.57351,39.70322,0.9978477,"NAN","NAN"
"2019-08-02 19:00:00",41864,620.3846,599.9176,0,33.855,31.759,51.65,40.96,"NAN",20.72265,18.60406,32.84673,43.97837,1.294723,"NAN","NAN"
"2019-08-02 20:00:00",41865,620.2045,599.8871,0,31.768,29.939,60.511,51.685,"NAN",21.49718,20.60932,30.83196,56.72698,1.84118,"NAN","NAN"
"2019-08-02 21:00:00",41866,620.6655,599.9329,0,29.958,28.82,63.351,60.477,"NAN",21.49718,21.13998,29.381,61.77249,1.65868,"NAN","NAN"
"2019-08-02 22:00:00",41867,620.3206,599.765,0,28.91,28.159,66.789,62.984,"NAN",21.54978,21.14301,28.62026,64.84143,0.6818054,"NAN","NAN"
"2019-08-02 23:00:00",41868,620.0641,599.7711,0,28.159,27.778,69.754,66.848,"NAN",21.84882,21.38711,27.90714,68.83512,0.3811805,"NAN","NAN"
"2019-08-03 00:00:00",41869,619.8993,599.7222,0,27.848,27.509,70.764,69.26,"NAN",21.86137,21.60733,27.70411,70.03526,0.3085417,"NAN","NAN"
"2019-08-03 01:00:00",41870,600.9249,599.7344,0,28.188,27.7,69.268,65.934,"NAN",21.66211,21.11102,27.92632,67.397,1.181597,"NAN","NAN"
"2019-08-03 02:00:00",41871,620.2503,599.8016,0,27.97,27.268,68.121,66.27,"NAN",21.15301,20.86449,27.55483,67.27162,1.365556,"NAN","NAN"
"2019-08-03 03:00:00",41872,620.3022,599.7436,0,27.278,26.818,69.82,68.058,"NAN",21.02248,20.8003,26.99944,69.19878,0.05541666,"NAN","NAN"
"2019-08-03 04:00:00",41873,600.0702,599.7802,0,27.088,26.116,71.652,69.102,"NAN",20.99003,20.48351,26.48773,70.70639,0,"NAN","NAN"
"2019-08-03 05:00:00",41874,600.0916,599.8412,0,26.238,25.576,71.508,70.113,"NAN",20.58747,20.02083,25.90566,70.98312,0.2696528,"NAN","NAN"
"2019-08-03 06:00:00",41875,619.9878,599.8107,0,25.948,25.544,71.468,70.369,"NAN",20.18209,19.97877,25.71093,71.00279,0.7060416,"NAN","NAN"
"2019-08-03 07:00:00",41876,620.2625,599.826,0,26.507,25.886,70.664,68.814,"NAN",20.418,20.09806,26.13155,69.92448,0.6311111,"NAN","NAN"
"2019-08-03 08:00:00",41877,620.113,599.7375,0,27.749,26.476,69.332,63.863,"NAN",20.60697,20.21578,27.13076,66.66898,0.7480553,"NAN","NAN"
"2019-08-03 09:00:00",41878,620.3174,599.7619,0,28.978,27.528,64.492,59.136,"NAN",20.49683,20.02402,28.20057,61.93908,1.209237,"NAN","NAN"
"2019-08-03 10:00:00",41879,620.2991,599.8962,0,31.33,28.74,59.964,52.775,"NAN",21.06326,20.01464,29.52332,57.82764,0.9868059,"NAN","NAN"
"2019-08-03 11:00:00",41880,620.2717,599.7527,0,31.388,29.97,56.607,52.515,"NAN",21.09115,19.99418,30.71415,54.15847,1.276875,"NAN","NAN"
"2019-08-03 12:00:00",41881,619.8962,599.7344,0,33.487,31.02,53.523,46.019,"NAN",21.27607,19.9074,32.36438,49.66156,1.210765,"NAN","NAN"
"2019-08-03 13:00:00",41882,620.1191,599.765,0,35.583,32.158,50.14,41.329,"NAN",21.69944,19.84574,33.81831,45.8649,1.172222,"NAN","NAN"
"2019-08-03 14:00:00",41883,620.3358,599.7314,0,36.83,33.724,45.571,38.33,"NAN",21.52184,19.89297,35.56477,41.54972,1.248403,"NAN","NAN"
"2019-08-03 15:00:00",41884,620.5677,599.7558,0,38.035,35.125,42.046,35.831,"NAN",21.40627,19.67785,36.71978,38.59008,1.033889,"NAN","NAN"
"2019-08-03 16:00:00",41885,620.3602,599.8993,0,37.817,36.162,39.264,34.89,"NAN",20.78393,19.415,37.1796,36.75334,1.251736,"NAN","NAN"
"2019-08-03 17:00:00",41886,620.1343,599.9176,0,37.916,36.332,37.185,33.935,"NAN",20.12175,18.83283,37.09722,35.70421,0.9746527,"NAN","NAN"
"2019-08-03 18:00:00",41887,620.1649,599.7253,0,36.461,33.577,40.746,35.853,"NAN",19.41199,18.37767,35.00079,38.44436,0.3154861,"NAN","NAN"
"2019-08-03 19:00:00",41888,600.0702,599.7863,0,33.577,31.958,44.721,40.771,"NAN",18.61947,18.29248,32.6902,42.85097,0,"NAN","NAN"
"2019-08-03 20:00:00",41889,620.3358,599.8718,0,32.048,29.31,60.572,44.232,"NAN",20.96568,18.35446,30.52708,54.22525,1.513264,"NAN","NAN"
"2019-08-03 21:00:00",41890,620.6899,599.765,0,29.35,28.169,62.622,60.16,"NAN",20.93371,20.2533,28.65593,61.27288,1.533333,"NAN","NAN"
"2019-08-03 22:00:00",41891,620.4976,599.9451,0,28.15,27.358,68.556,62.646,"NAN",21.09356,20.35647,27.75301,65.55058,0.9987502,"NAN","NAN"
"2019-08-03 23:00:00",41892,620.4976,599.7497,0,27.428,27.058,70.246,68.361,"NAN",21.34703,21.04899,27.27102,69.39926,0.3964583,"NAN","NAN"
"2019-08-04 00:00:00",41893,620.2503,599.7955,0,27.178,26.957,72.758,70.082,"NAN",21.79369,21.17569,27.08081,71.24347,0.031875,"NAN","NAN"
"2019-08-04 01:00:00",41894,619.8596,599.7497,0,27.208,26.857,74.262,72.121,"NAN",21.96031,21.68444,27.02565,73.25304,0.3175,"NAN","NAN"
"2019-08-04 02:00:00",41895,620.4945,599.8351,0,27.348,26.886,74.292,73.004,"NAN",22.19035,21.90721,27.17978,73.58517,0.02076389,"NAN","NAN"
"2019-08-04 03:00:00",41896,620.1526,599.7497,0,27.239,26.437,75.5,73.34,"NAN",22.15191,21.70222,26.94561,74.01159,0.1209722,"NAN","NAN"
"2019-08-04 04:00:00",41897,600.0702,599.9084,0,26.517,26.038,75.972,74.888,"NAN",21.80974,21.43366,26.27067,75.48524,0,"NAN","NAN"
"2019-08-04 05:00:00",41898,620.1282,599.6978,0,26.058,25.204,77.382,75.859,"NAN",21.50928,20.95699,25.65615,76.6913,0.126875,"NAN","NAN"
"2019-08-04 06:00:00",41899,620.232,599.7527,0,25.286,24.835,77.779,76.445,"NAN",21.02712,20.64997,25.11142,77.07262,0.07944444,"NAN","NAN"
"2019-08-04 07:00:00",41900,620.2869,599.7253,0,27.458,24.906,77.781,68.4,"NAN",21.51205,20.76186,26.05225,74.15655,0.1573611,"NAN","NAN"
"2019-08-04 08:00:00",41901,620.2381,599.7955,0,29.84,26.988,69.792,55.941,"NAN",21.53764,19.77395,28.44192,63.85775,1.120347,"NAN","NAN"
"2019-08-04 09:00:00",41902,620.3358,599.7436,0,31.638,29.74,56.696,47.892,"NAN",20.45808,19.10527,30.77906,51.77431,1.854097,"NAN","NAN"
"2019-08-04 10:00:00",41903,600.9341,599.9329,0,33.558,30.17,51.804,42.595,"NAN",20.14348,18.7063,31.40612,48.52618,1.716806,"NAN","NAN"
"2019-08-04 11:00:00",41904,600.8761,599.9146,0,34.376,31.43,47.22,39.419,"NAN",20.14506,18.1229,32.94073,43.49439,1.655209,"NAN","NAN"
