"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.02","estacaoAtual.CR2","15733","Table1"
"TIMESTAMP","RECORD","BP_mbar_Max","BP_mbar_Min","Rain_mm_Tot","AirTC_Max","AirTC_Min","RH_Max","RH_Min","SlrkJ_Tot","TdC_Max","TdC_Min","AirTC_Avg","RH_Avg","WS_ms_Avg","SlrkJ_Avg","ETo"
"TS","RN","mbar","mbar","mm","Deg C","Deg C","%","%","kJ/m^2","Deg C","Deg C","Deg C","%","meters/sec","kJ/m^2",""
"","","Max","Min","Tot","Max","Min","Max","Min","Tot","Max","Min","Avg","Avg","Avg","Avg","ETo"
"2016-05-13 12:00:00",20429,619.3712,599.8077,0,32.568,30.99,59.462,52.995,1600.854,22.88371,21.1415,31.71513,56.40049,0.9094337,10.06826,0.02289815
"2016-05-13 13:00:00",20430,619.4078,599.765,0,33.855,31.579,57.87,49.134,3509.112,23.19884,20.83609,32.5752,53.11275,1.072569,9.747534,0.06400271
"2016-05-13 14:00:00",20431,619.0446,599.7894,0,35.064,31.63,56.033,43.796,3440.542,23.81463,20.67251,33.41721,50.00652,0.9671527,9.557062,0.06278411
"2016-05-13 15:00:00",20432,619.2674,599.8565,0,35.761,32.308,54.189,42.244,3401.442,22.6932,20.53857,33.70581,48.01492,0.9927774,9.448451,0.06659186
