"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.02","estacaoAtual.CR2","15733","Table1"
"TIMESTAMP","RECORD","BP_mbar_Max","BP_mbar_Min","Rain_mm_Tot","AirTC_Max","AirTC_Min","RH_Max","RH_Min","SlrkJ_Tot","TdC_Max","TdC_Min","AirTC_Avg","RH_Avg","WS_ms_Avg","SlrkJ_Avg","ETo"
"TS","RN","mbar","mbar","mm","Deg C","Deg C","%","%","kJ/m^2","Deg C","Deg C","Deg C","%","meters/sec","kJ/m^2",""
"","","Max","Min","Tot","Max","Min","Max","Min","Tot","Max","Min","Avg","Avg","Avg","Avg","ETo"
"2015-10-01 00:00:00",18487,600.4915,599.8901,0,24.154,23.712,83.41,81.742,0.1564409,20.89435,20.73818,23.95692,82.53537,2.169167,0.000434558,0.0247051
"2015-10-01 01:00:00",18488,600.4335,599.9695,0,23.722,23.312,85.678,83.402,0.1617828,20.81737,20.71219,23.47884,84.6601,2.436874,0.0004493966,0.02296423
"2015-10-01 02:00:00",18489,600.3877,600.0519,0,23.411,23.08,87.398,85.457,0.1823872,20.93053,20.78917,23.27714,86.23746,2.840833,0.000506631,0.02237468
"2015-10-01 03:00:00",18490,600.4457,599.9908,0,23.09,22.63,90.042,87.371,0.2380954,20.95032,20.85524,22.85266,88.68584,2.011111,0.000661376,0.01479479
"2015-10-01 04:00:00",18491,600.3846,599.9817,0,22.93,22.589,90.318,89.39,0.2312273,21.13436,20.91484,22.7678,89.84689,2.725207,0.000642298,0.01588652
"2015-10-01 05:00:00",18492,600.4457,600.0214,0,22.89,22.609,90.882,89.516,0.175519,21.11829,21.02278,22.75208,90.16127,2.934581,0.0004875529,0.01603223
"2015-10-01 06:00:00",18493,600.406,600,0,22.63,22.208,92.191,90.746,8.046402,21.08632,20.88204,22.41834,91.57396,2.256668,0.02235112,0.01171468
"2015-10-01 07:00:00",18494,600.4823,600.1221,0,24.434,22.188,92.188,79.75,385.3938,21.09304,20.6565,23.0505,87.86755,2.01875,1.070538,0.02269561
"2015-10-01 08:00:00",18495,600.5067,600.0793,0,27.117,24.334,80.078,67.634,1215.233,20.80152,20.2147,25.76327,72.9755,4.369166,3.375647,0.1001098
"2015-10-01 09:00:00",18496,600.4762,600.0336,0,29.228,26.898,68.3,58.009,1960.793,20.77839,19.63329,27.84939,63.14164,5.708957,5.446647,0.1763199
"2015-10-01 10:00:00",18497,600.4487,600.0214,0,30.75,28.098,61.512,50.611,2023.487,20.33774,18.99627,29.05273,57.11358,5.123332,5.620798,0.1943807
"2015-10-01 11:00:00",18498,600.4609,599.9695,0,31.548,29.798,53.318,46.957,2567.954,19.66558,18.51796,30.55862,50.47575,5.395418,7.133206,0.2422296
"2015-10-01 12:00:00",18499,600.4823,599.9908,0,33.097,31.06,49.269,44.07,3174.484,19.84325,18.46023,32.07504,46.58115,5.047292,8.818012,0.2573331
"2015-10-01 13:00:00",18500,600.4487,599.9329,0,33.267,31.608,54.047,44.099,2925.476,21.8436,18.75633,32.48999,47.74189,4.67354,8.126322,0.2386931
"2015-10-01 14:00:00",18501,600.3969,599.9603,0,33.794,31.47,55.98,48.378,3054.584,22.24955,20.78183,32.29809,52.97396,5.131875,8.484957,0.2310706
"2015-10-01 15:00:00",18502,600.3388,599.9542,0,32.518,30.798,58.716,51.796,2558.902,22.07757,21.14863,31.58896,55.59844,5.221875,7.108062,0.2171959
"2015-10-01 16:00:00",18503,600.3266,599.7589,0,31.669,30.01,62.555,56.353,1805.279,22.39666,21.52876,30.63831,59.9476,5.390625,5.014664,0.1956806
"2015-10-01 17:00:00",18504,600.3724,599.9023,0,30.52,28.728,65.519,59.433,970.5534,22.02009,21.27393,29.65443,62.36788,5.475001,2.695982,0.1806099
"2015-10-01 18:00:00",18505,600.3571,599.9939,0,28.888,27.158,67.766,64.087,217.636,21.66359,20.18058,27.92561,65.8336,4.718956,0.6045443,0.1392289
"2015-10-01 19:00:00",18506,600.3419,599.9451,0,27.208,25.788,72.008,65.183,0.4052201,20.38272,19.5598,26.47161,67.48382,4.17979,0.001125611,0.07240686
"2015-10-01 20:00:00",18507,600.3358,600,0,25.776,25.066,78.508,72.035,0.2220697,21.09234,20.3679,25.38966,75.48454,3.888542,0.0006168603,0.05065486
"2015-10-01 21:00:00",18508,600.3541,599.9298,0,25.066,24.504,82.174,78.508,0.1800978,21.31072,21.07927,24.78865,80.4725,3.347709,0.0005002716,0.03655569
"2015-10-01 22:00:00",18509,600.3693,599.9054,0,24.535,24.253,84.602,82.117,0.1617828,21.53586,21.25983,24.34911,83.48241,2.923959,0.0004493966,0.02829245
"2015-10-01 23:00:00",18510,600.3969,600.0031,0,24.292,24.132,86.98,84.572,0.1762822,21.86665,21.51435,24.2337,85.58989,2.612916,0.0004896727,0.02306666
"2015-10-02 00:00:00",18511,600.351,599.9695,0,24.154,23.462,89.882,86.947,0.2022284,21.88454,21.72207,23.84979,88.29185,2.14625,0.0005617456,0.01645679
"2015-10-02 01:00:00",18512,600.3693,600.0702,0,23.462,23.01,91.77,89.857,0.1640721,21.77563,21.60787,23.25081,90.89004,1.863542,0.0004557559,0.01152719
"2015-10-02 02:00:00",18513,600.403,600.0244,0,23.05,22.669,93.199,91.762,0.1396521,21.65586,21.5107,22.87368,92.41009,1.88257,0.0003879225,0.00958799
"2015-10-02 03:00:00",18514,600.3816,599.9268,0,22.689,22.348,94.59,93.193,0.1411783,21.56225,21.43027,22.49401,94.03166,2.074376,0.000392162,0.007957659
"2015-10-02 04:00:00",18515,600.3846,599.9786,0,22.669,22.348,94.646,94.054,0.1533884,21.68901,21.43977,22.47003,94.30422,2.797709,0.0004260788,0.009024969
"2015-10-02 05:00:00",18516,600.4213,600.0061,0,22.81,22.54,94.508,93.486,0.1846766,21.75104,21.59688,22.7105,93.8081,2.025625,0.0005129905,0.008185315
"2015-10-02 06:00:00",18517,600.4518,599.9847,0,22.57,22.388,95.226,94.376,8.211239,21.70763,21.57078,22.48974,94.87973,0.5962502,0.022809,0.002869437
"2015-10-02 07:00:00",18518,600.467,600.0275,0,24.523,22.47,95,87.396,359.6263,22.38604,21.63216,23.23499,92.43143,1.970208,0.9989618,0.01432687
"2015-10-02 08:00:00",18519,600.4457,600.0336,0,26.398,24.484,87.455,77.848,886.2419,22.64514,22.07232,25.65797,81.99023,3.404582,2.461783,0.05504468
"2015-10-02 09:00:00",18520,600.4548,600.0092,0,28.32,26.218,78.226,67.048,1425.64,22.54289,21.45316,27.40409,72.58183,4.245626,3.960111,0.1037331
"2015-10-02 10:00:00",18521,600.5525,599.9939,0,30.228,27.418,70.756,59.222,1719.506,21.93238,20.93303,28.63595,65.43133,4.08875,4.776407,0.130432
"2015-10-02 11:00:00",18522,600.4854,599.9664,0,32.178,29.59,60.681,48.8,3092.936,21.93221,19.65337,30.85895,54.62069,4.498125,8.59149,0.1953347
"2015-10-02 12:00:00",18523,600.4823,599.9664,0,33.765,30.83,52.083,41.24,2958.808,20.31806,18.61248,32.22099,47.43929,4.000834,8.218911,0.2108094
"2015-10-02 13:00:00",18524,600.4518,600.0153,0,34.505,32.508,45.083,38.019,3407.164,19.24241,17.54458,33.52191,41.1068,3.871251,9.464343,0.2359977
"2015-10-02 14:00:00",18525,600.4365,599.9573,0,35.023,33.487,43.4,37.848,3033.187,19.70196,18.02269,34.20797,40.58903,3.78896,8.425518,0.2361057
"2015-10-02 15:00:00",18526,600.3388,599.942,0,34.755,32.226,49.95,40.683,2379.107,21.06227,19.07191,33.24897,46.89048,4.598749,6.60863,0.2420707
"2015-10-02 16:00:00",18527,600.3816,599.9084,0,32.908,31.041,49.924,46.593,1791.333,20.59575,18.86038,31.83019,48.44981,5.283542,4.975926,0.2536666
"2015-10-02 17:00:00",18528,600.3999,600.0336,0,31.17,29.27,52.075,47.607,963.9025,19.04352,18.25717,30.15427,50.25302,5.121458,2.677507,0.2288007
"2015-10-02 18:00:00",18529,600.3938,600.0336,0,29.51,26.898,65.875,50.961,212.378,20.006,18.11739,28.21587,56.63408,5.116876,0.589939,0.1893526
"2015-10-02 19:00:00",18530,600.3632,600.061,0,26.908,25.776,71.502,65.902,0.2892249,20.43134,20.00312,26.20974,69.80288,4.515,0.0008034026,0.06916407
"2015-10-02 20:00:00",18531,600.3449,600.0427,0,25.796,25.196,76.156,71.474,0.1778084,20.73652,20.23068,25.45517,73.95052,2.989166,0.0004939123,0.0468222
"2015-10-02 21:00:00",18532,600.3266,599.9786,0,25.236,24.664,80.863,76.042,0.1739928,21.19983,20.69378,24.98679,78.11038,2.040348,0.0004833133,0.03070151
"2015-10-02 22:00:00",18533,600.351,599.942,0,24.664,24.214,85.628,80.861,0.1648352,21.69288,21.16414,24.42858,83.28091,1.95611,0.0004578757,0.0224687
"2015-10-02 23:00:00",18534,600.3632,600.0488,0,24.234,23.732,89.041,85.602,0.144994,21.97454,21.66915,23.98938,87.59293,1.407361,0.0004027611,0.01318558
"2015-10-03 00:00:00",18535,600.3877,600.0366,0,23.732,23.462,91.71,89.035,0.1854396,22.06903,21.76964,23.57582,90.49509,1.113194,0.0005151102,0.008469733
"2015-10-03 01:00:00",18536,600.4121,600.0244,0,23.472,23.212,92.826,91.652,0.1900184,22.1102,21.99655,23.36994,92.29715,1.8475,0.0005278289,0.009758533
"2015-10-03 02:00:00",18537,600.4579,600.1465,0,23.222,22.609,94.796,92.867,0.2396217,22.02607,21.72747,22.92074,93.86119,0.7434026,0.0006656158,0.004041199
"2015-10-03 03:00:00",18538,600.4304,599.9786,0,22.65,22.278,95.806,94.736,0.1686509,21.79434,21.56399,22.41644,95.36154,0.9293054,0.0004684747,0.003629656
"2015-10-03 04:00:00",18539,600.4396,600.0122,0,22.308,21.947,96.718,95.672,0.1625459,21.60887,21.38934,22.10362,96.32832,0.3086806,0.0004515164,0.001318909
"2015-10-03 05:00:00",18540,600.4213,599.9634,0,22.148,22.007,96.722,96.438,0.2060441,21.60461,21.45843,22.07397,96.58707,1.188263,0.0005723448,0.003213566
"2015-10-03 06:00:00",18541,600.4548,600.0031,0,22.068,21.736,96.98,96.498,8.371495,21.52038,21.24763,21.905,96.75215,0.08395833,0.02325415,0.0005862892
"2015-10-03 07:00:00",18542,600.4854,600.0641,0,24.234,21.756,96.976,89.816,379.1876,22.48828,21.25965,22.74151,94.6695,0.9929861,1.053299,0.006170787
"2015-10-03 08:00:00",18543,600.464,599.9512,0,27.107,24.194,89.882,72.762,1204.829,22.61281,21.71382,25.62681,81.72325,4.089584,3.346748,0.06489914
"2015-10-03 09:00:00",18544,600.4792,600.0397,0,29.08,26.699,73.926,60.843,1925.125,22.05914,20.56369,27.96138,67.52377,5.169581,5.347569,0.145077
"2015-10-03 10:00:00",18545,600.4945,600.0732,0,31.16,28.68,62.494,51.714,2743.52,20.92956,19.66984,29.66255,57.30202,5.182708,7.620889,0.1993213
"2015-10-03 11:00:00",18546,600.4457,599.939,0,32.207,30.06,54.673,47.375,3005.753,20.20596,19.34062,31.01923,51.30099,4.965833,8.349315,0.2266149
"2015-10-03 12:00:00",18547,600.4731,600.0122,0,34.236,31.54,49.844,41.329,3517.893,20.03158,18.87248,32.83058,44.87453,4.427708,9.771924,0.2436493
"2015-10-03 13:00:00",18548,600.5067,599.9725,0,34.972,32.789,44.325,37.25,3413.211,19.76449,17.87292,33.89831,41.01513,4.32875,9.481142,0.2607591
"2015-10-03 14:00:00",18549,600.3877,599.7802,0,34.515,32.847,41.537,37.863,2976.724,18.87521,17.43601,33.65846,39.61596,4.826875,8.268679,0.2890154
"2015-10-03 15:00:00",18550,600.3846,599.9207,0,33.546,31.458,45.293,39.371,2513.905,18.8185,17.535,32.3189,43.29995,5.535624,6.983069,0.2934094
"2015-10-03 16:00:00",18551,600.3846,599.9146,0,32.338,30.51,46.953,41.148,1774.453,18.3569,17.02586,31.42156,44.13141,5.438957,4.929036,0.2783563
"2015-10-03 17:00:00",18552,600.3449,599.9603,0,30.81,28.619,58.46,45.962,942.8218,19.75216,17.54533,29.67641,51.95486,5.54375,2.61895,0.2323496
"2015-10-03 18:00:00",18553,600.351,600.0305,0,28.63,26.538,72.386,58.488,200.5831,21.1949,19.66216,27.52094,65.84504,5.123121,0.5571753,0.1468516
"2015-10-03 19:00:00",18554,600.3358,599.884,0,26.558,25.466,82.035,72.359,0.1625459,22.20924,21.18341,25.9797,77.54414,4.550832,0.0004515164,0.05121735
"2015-10-03 20:00:00",18555,600.3419,600.0549,0,25.486,25.024,85.676,82.035,0.2228328,22.4924,22.18513,25.2549,84.07043,3.27875,0.0006189801,0.02999984
"2015-10-03 21:00:00",18556,600.3969,600.058,0,25.056,24.574,87.75,85.644,0.2426742,22.52586,22.40595,24.80664,86.68998,2.432917,0.0006740949,0.02081475
"2015-10-03 22:00:00",18557,600.3846,599.9542,0,24.584,24.182,89.041,87.68,0.1457571,22.43375,22.27729,24.38601,88.29694,2.339791,0.0004048809,0.01765212
"2015-10-03 23:00:00",18558,600.3449,599.9664,0,24.284,24.154,89.674,88.98,0.1915447,22.45338,22.26281,24.20606,89.38232,2.362291,0.0005320685,0.01603233
"2015-10-04 00:00:00",18559,600.4091,600.0122,0,24.343,24.243,90.188,89.316,0.1854397,22.60518,22.42248,24.28901,89.82281,2.558542,0.0005151102,0.01617002
"2015-10-04 01:00:00",18560,600.4121,600.0366,0,24.353,23.884,91.3,89.836,0.1488096,22.60534,22.37587,24.1489,90.47937,2.41375,0.0004133601,0.01455567
"2015-10-04 02:00:00",18561,600.4823,600.0671,0,23.893,23.392,93.375,91.296,0.2068073,22.40999,22.26573,23.58408,92.50944,2.098125,0.0005744646,0.01036099
"2015-10-04 03:00:00",18562,600.3877,600.0763,0,23.43,23.041,94.632,93.375,0.2289379,22.32214,22.13984,23.24045,93.98412,1.785,0.0006359385,0.007468146
"2015-10-04 04:00:00",18563,600.4182,599.9786,0,23.08,22.83,94.742,94.504,0.2312273,22.18968,21.94991,22.96633,94.60458,1.664166,0.000642298,0.006368664
"2015-10-04 05:00:00",18564,600.3724,600.0793,0,22.91,22.75,94.992,94.453,0.1701772,22.01354,21.91232,22.83438,94.72643,2.159166,0.0004727143,0.007305682
"2015-10-04 06:00:00",18565,600.403,599.9908,0,22.9,22.71,94.98,94.449,9.061361,21.99338,21.85673,22.82114,94.66046,2.142292,0.02517045,0.007363022
"2015-10-04 07:00:00",18566,600.3969,600.0336,0,24.774,22.77,94.781,85.605,344.6287,22.37413,21.8956,23.57857,91.14741,2.514584,0.957302,0.02030147
"2015-10-04 08:00:00",18567,600.4792,600.058,0,27.136,24.754,85.758,73.468,1134.659,22.55744,21.91682,26.03181,79.35118,3.967084,3.151831,0.07191561
"2015-10-04 09:00:00",18568,600.4976,600.058,0,29.58,27.018,74.236,62.031,1750.099,22.17122,21.339,27.95992,69.01405,4.636249,4.861387,0.1273284
